Entity,Code,Date,people_fully_vaccinated_per_hundred
Alabama,,1/12/2021,0.15
Alabama,,1/13/2021,0.19
Alabama,,1/15/2021,0.28
Alabama,,1/19/2021,0.33
Alabama,,1/20/2021,0.37
Alabama,,1/21/2021,0.44
Alabama,,1/22/2021,0.51
Alabama,,1/23/2021,0.56
Alabama,,1/24/2021,0.61
Alabama,,1/25/2021,0.61
Alabama,,1/26/2021,0.63
Alabama,,1/27/2021,0.69
Alabama,,1/28/2021,0.76
Alabama,,1/29/2021,0.9
Alabama,,1/30/2021,1.1
Alabama,,1/31/2021,1.13
Alabama,,2/1/2021,1.15
Alabama,,2/2/2021,1.2
Alabama,,2/3/2021,1.28
Alabama,,2/4/2021,1.41
Alabama,,2/5/2021,1.56
Alabama,,2/6/2021,1.72
Alabama,,2/7/2021,1.76
Alabama,,2/8/2021,1.8
Alabama,,2/9/2021,1.94
Alabama,,2/10/2021,2.09
Alabama,,2/11/2021,2.26
Alabama,,2/12/2021,2.49
Alabama,,2/13/2021,2.71
Alabama,,2/14/2021,2.79
Alabama,,2/16/2021,3.04
Alabama,,2/17/2021,3.15
Alabama,,2/18/2021,3.37
Alabama,,2/19/2021,3.92
Alabama,,2/20/2021,4.37
Alabama,,2/21/2021,4.48
Alabama,,2/22/2021,4.52
Alabama,,2/23/2021,4.75
Alabama,,2/24/2021,5.04
Alabama,,2/25/2021,5.34
Alabama,,2/26/2021,5.69
Alabama,,2/27/2021,6.13
Alabama,,2/28/2021,6.24
Alabama,,3/1/2021,6.29
Alabama,,3/2/2021,6.57
Alabama,,3/3/2021,6.91
Alabama,,3/4/2021,7.29
Alabama,,3/5/2021,7.64
Alabama,,3/6/2021,8.03
Alabama,,3/7/2021,8.12
Alabama,,3/8/2021,8.36
Alabama,,3/9/2021,8.57
Alabama,,3/10/2021,8.87
Alabama,,3/11/2021,9.23
Alabama,,3/12/2021,9.63
Alabama,,3/13/2021,10.05
Alabama,,3/14/2021,10.15
Alaska,,1/12/2021,0.74
Alaska,,1/13/2021,0.84
Alaska,,1/15/2021,1.29
Alaska,,1/19/2021,1.48
Alaska,,1/20/2021,1.54
Alaska,,1/21/2021,1.69
Alaska,,1/22/2021,1.88
Alaska,,1/23/2021,2.08
Alaska,,1/24/2021,2.21
Alaska,,1/25/2021,2.28
Alaska,,1/26/2021,2.3
Alaska,,1/27/2021,2.47
Alaska,,1/28/2021,2.74
Alaska,,1/29/2021,2.95
Alaska,,1/30/2021,3.19
Alaska,,1/31/2021,3.36
Alaska,,2/1/2021,3.48
Alaska,,2/2/2021,3.58
Alaska,,2/3/2021,3.76
Alaska,,2/4/2021,4.12
Alaska,,2/5/2021,4.46
Alaska,,2/6/2021,4.89
Alaska,,2/7/2021,5.41
Alaska,,2/8/2021,5.58
Alaska,,2/9/2021,5.7
Alaska,,2/10/2021,5.95
Alaska,,2/11/2021,6.29
Alaska,,2/12/2021,6.69
Alaska,,2/13/2021,7.16
Alaska,,2/14/2021,7.81
Alaska,,2/16/2021,8.33
Alaska,,2/17/2021,8.54
Alaska,,2/18/2021,8.92
Alaska,,2/19/2021,9.83
Alaska,,2/20/2021,10.75
Alaska,,2/21/2021,11.25
Alaska,,2/22/2021,11.54
Alaska,,2/23/2021,11.62
Alaska,,2/24/2021,11.9
Alaska,,2/25/2021,12.36
Alaska,,2/26/2021,12.63
Alaska,,2/27/2021,13.05
Alaska,,2/28/2021,13.35
Alaska,,3/1/2021,13.67
Alaska,,3/2/2021,13.81
Alaska,,3/3/2021,14.01
Alaska,,3/4/2021,14.24
Alaska,,3/5/2021,14.57
Alaska,,3/6/2021,15.05
Alaska,,3/7/2021,15.56
Alaska,,3/8/2021,15.81
Alaska,,3/9/2021,16.04
Alaska,,3/10/2021,16.28
Alaska,,3/11/2021,16.7
Alaska,,3/12/2021,16.97
Alaska,,3/13/2021,17.31
Alaska,,3/14/2021,17.89
American Samoa,ASM,1/12/2021,0.47
American Samoa,ASM,1/13/2021,0.65
American Samoa,ASM,1/15/2021,1.33
American Samoa,ASM,1/19/2021,1.38
American Samoa,ASM,1/20/2021,1.5
American Samoa,ASM,1/21/2021,1.67
American Samoa,ASM,1/22/2021,1.69
American Samoa,ASM,1/23/2021,1.7
American Samoa,ASM,1/24/2021,1.7
American Samoa,ASM,1/25/2021,1.7
American Samoa,ASM,1/26/2021,1.7
American Samoa,ASM,1/27/2021,1.71
American Samoa,ASM,1/28/2021,1.71
American Samoa,ASM,1/29/2021,1.79
American Samoa,ASM,1/30/2021,1.79
American Samoa,ASM,1/31/2021,1.79
American Samoa,ASM,2/1/2021,1.88
American Samoa,ASM,2/2/2021,1.88
American Samoa,ASM,2/3/2021,2.34
American Samoa,ASM,2/4/2021,2.68
American Samoa,ASM,2/5/2021,4.04
American Samoa,ASM,2/6/2021,4.45
American Samoa,ASM,2/7/2021,4.45
American Samoa,ASM,2/8/2021,4.45
American Samoa,ASM,2/9/2021,5.18
American Samoa,ASM,2/10/2021,6.27
American Samoa,ASM,2/11/2021,6.62
American Samoa,ASM,2/12/2021,8.92
American Samoa,ASM,2/13/2021,9.53
American Samoa,ASM,2/14/2021,9.53
American Samoa,ASM,2/16/2021,10.52
American Samoa,ASM,2/17/2021,10.75
American Samoa,ASM,2/18/2021,10.75
American Samoa,ASM,2/19/2021,10.75
American Samoa,ASM,2/20/2021,12.38
American Samoa,ASM,2/21/2021,14.03
American Samoa,ASM,2/22/2021,14.04
American Samoa,ASM,2/23/2021,14.04
American Samoa,ASM,2/24/2021,14.33
American Samoa,ASM,2/25/2021,14.33
American Samoa,ASM,2/26/2021,14.43
American Samoa,ASM,2/27/2021,14.43
American Samoa,ASM,2/28/2021,14.43
American Samoa,ASM,3/1/2021,14.43
American Samoa,ASM,3/2/2021,14.54
American Samoa,ASM,3/3/2021,14.54
American Samoa,ASM,3/4/2021,14.74
American Samoa,ASM,3/5/2021,14.74
American Samoa,ASM,3/6/2021,14.74
American Samoa,ASM,3/7/2021,14.74
American Samoa,ASM,3/8/2021,14.82
American Samoa,ASM,3/9/2021,14.82
American Samoa,ASM,3/10/2021,15.63
American Samoa,ASM,3/11/2021,15.63
American Samoa,ASM,3/12/2021,15.63
American Samoa,ASM,3/13/2021,15.65
American Samoa,ASM,3/14/2021,15.65
Arizona,,1/12/2021,0.11
Arizona,,1/13/2021,0.17
Arizona,,1/15/2021,0.29
Arizona,,1/19/2021,0.42
Arizona,,1/20/2021,0.48
Arizona,,1/21/2021,0.57
Arizona,,1/22/2021,0.67
Arizona,,1/23/2021,0.76
Arizona,,1/24/2021,0.8
Arizona,,1/25/2021,0.86
Arizona,,1/26/2021,0.89
Arizona,,1/27/2021,0.95
Arizona,,1/28/2021,1.02
Arizona,,1/29/2021,1.11
Arizona,,1/30/2021,1.2
Arizona,,1/31/2021,1.27
Arizona,,2/1/2021,1.31
Arizona,,2/2/2021,1.33
Arizona,,2/3/2021,1.4
Arizona,,2/4/2021,1.53
Arizona,,2/5/2021,1.67
Arizona,,2/6/2021,1.87
Arizona,,2/7/2021,2.08
Arizona,,2/8/2021,2.22
Arizona,,2/9/2021,2.29
Arizona,,2/10/2021,2.44
Arizona,,2/11/2021,2.65
Arizona,,2/12/2021,2.86
Arizona,,2/13/2021,3.11
Arizona,,2/14/2021,3.37
Arizona,,2/16/2021,3.63
Arizona,,2/17/2021,3.68
Arizona,,2/18/2021,3.9
Arizona,,2/19/2021,4.61
Arizona,,2/20/2021,4.89
Arizona,,2/21/2021,5.17
Arizona,,2/22/2021,5.39
Arizona,,2/23/2021,5.47
Arizona,,2/24/2021,5.67
Arizona,,2/25/2021,6.02
Arizona,,2/26/2021,6.44
Arizona,,2/27/2021,6.84
Arizona,,2/28/2021,7.35
Arizona,,3/1/2021,7.78
Arizona,,3/2/2021,8.07
Arizona,,3/3/2021,8.43
Arizona,,3/4/2021,8.79
Arizona,,3/5/2021,9.23
Arizona,,3/6/2021,9.27
Arizona,,3/7/2021,10.03
Arizona,,3/8/2021,10.14
Arizona,,3/9/2021,10.31
Arizona,,3/10/2021,10.54
Arizona,,3/11/2021,10.88
Arizona,,3/12/2021,11.35
Arizona,,3/13/2021,11.8
Arizona,,3/14/2021,12.25
Arkansas,,1/12/2021,0
Arkansas,,1/13/2021,0.43
Arkansas,,1/15/2021,0.62
Arkansas,,1/19/2021,0.72
Arkansas,,1/20/2021,0.88
Arkansas,,1/21/2021,0.88
Arkansas,,1/22/2021,1.05
Arkansas,,1/23/2021,1.05
Arkansas,,1/24/2021,1.08
Arkansas,,1/25/2021,1.1
Arkansas,,1/26/2021,1.23
Arkansas,,1/27/2021,1.36
Arkansas,,1/28/2021,1.36
Arkansas,,1/29/2021,1.52
Arkansas,,1/30/2021,1.73
Arkansas,,1/31/2021,1.86
Arkansas,,2/1/2021,1.94
Arkansas,,2/2/2021,1.98
Arkansas,,2/3/2021,2.1
Arkansas,,2/4/2021,2.28
Arkansas,,2/5/2021,2.45
Arkansas,,2/6/2021,2.7
Arkansas,,2/7/2021,2.99
Arkansas,,2/8/2021,3.12
Arkansas,,2/9/2021,3.15
Arkansas,,2/10/2021,3.44
Arkansas,,2/11/2021,3.67
Arkansas,,2/12/2021,3.93
Arkansas,,2/13/2021,4.11
Arkansas,,2/14/2021,4.33
Arkansas,,2/16/2021,4.52
Arkansas,,2/17/2021,4.58
Arkansas,,2/18/2021,4.66
Arkansas,,2/19/2021,5
Arkansas,,2/20/2021,5.06
Arkansas,,2/21/2021,5.22
Arkansas,,2/22/2021,5.35
Arkansas,,2/23/2021,5.43
Arkansas,,2/24/2021,5.72
Arkansas,,2/25/2021,6.11
Arkansas,,2/26/2021,6.64
Arkansas,,2/27/2021,7.09
Arkansas,,2/28/2021,7.52
Arkansas,,3/1/2021,7.73
Arkansas,,3/2/2021,7.83
Arkansas,,3/3/2021,8.03
Arkansas,,3/4/2021,8.26
Arkansas,,3/5/2021,8.5
Arkansas,,3/6/2021,8.76
Arkansas,,3/7/2021,9.07
Arkansas,,3/8/2021,9.19
Arkansas,,3/9/2021,9.27
Arkansas,,3/10/2021,9.45
Arkansas,,3/11/2021,9.47
Arkansas,,3/12/2021,9.85
Arkansas,,3/13/2021,10.27
Arkansas,,3/14/2021,10.27
California,,1/12/2021,0.25
California,,1/13/2021,0.34
California,,1/15/2021,0.52
California,,1/19/2021,0.66
California,,1/20/2021,0.69
California,,1/21/2021,0.74
California,,1/22/2021,0.81
California,,1/23/2021,0.86
California,,1/24/2021,0.9
California,,1/25/2021,0.94
California,,1/26/2021,0.98
California,,1/27/2021,1.06
California,,1/28/2021,1.16
California,,1/29/2021,1.23
California,,1/30/2021,1.33
California,,1/31/2021,1.41
California,,2/1/2021,1.47
California,,2/2/2021,1.5
California,,2/3/2021,1.55
California,,2/4/2021,1.58
California,,2/5/2021,1.71
California,,2/6/2021,1.84
California,,2/7/2021,2.05
California,,2/8/2021,2.15
California,,2/9/2021,2.22
California,,2/10/2021,2.35
California,,2/11/2021,2.51
California,,2/12/2021,2.74
California,,2/13/2021,2.98
California,,2/14/2021,3.26
California,,2/16/2021,3.69
California,,2/17/2021,3.82
California,,2/18/2021,4
California,,2/19/2021,4.44
California,,2/20/2021,4.72
California,,2/21/2021,5
California,,2/22/2021,5.18
California,,2/23/2021,5.33
California,,2/24/2021,5.5
California,,2/25/2021,5.73
California,,2/26/2021,6.03
California,,2/27/2021,6.34
California,,2/28/2021,6.61
California,,3/1/2021,6.95
California,,3/2/2021,7.35
California,,3/3/2021,7.59
California,,3/4/2021,7.71
California,,3/5/2021,7.92
California,,3/6/2021,8.26
California,,3/7/2021,8.48
California,,3/8/2021,8.62
California,,3/9/2021,8.72
California,,3/10/2021,8.82
California,,3/11/2021,8.96
California,,3/12/2021,9.15
California,,3/13/2021,9.67
California,,3/14/2021,9.67
Colorado,,1/12/2021,0.63
Colorado,,1/13/2021,0.72
Colorado,,1/15/2021,0.82
Colorado,,1/19/2021,0.87
Colorado,,1/20/2021,0.89
Colorado,,1/21/2021,0.95
Colorado,,1/22/2021,1.08
Colorado,,1/23/2021,1.08
Colorado,,1/24/2021,1.34
Colorado,,1/25/2021,1.4
Colorado,,1/26/2021,1.44
Colorado,,1/27/2021,1.57
Colorado,,1/28/2021,1.71
Colorado,,1/29/2021,1.88
Colorado,,1/30/2021,2.06
Colorado,,1/31/2021,2.17
Colorado,,2/1/2021,2.27
Colorado,,2/2/2021,2.31
Colorado,,2/3/2021,2.44
Colorado,,2/4/2021,2.6
Colorado,,2/5/2021,2.82
Colorado,,2/6/2021,3.11
Colorado,,2/7/2021,3.43
Colorado,,2/8/2021,3.61
Colorado,,2/9/2021,3.67
Colorado,,2/10/2021,3.92
Colorado,,2/11/2021,4.16
Colorado,,2/12/2021,4.41
Colorado,,2/13/2021,4.72
Colorado,,2/14/2021,5.05
Colorado,,2/16/2021,5.37
Colorado,,2/17/2021,5.46
Colorado,,2/18/2021,5.6
Colorado,,2/19/2021,6
Colorado,,2/20/2021,6.26
Colorado,,2/21/2021,6.57
Colorado,,2/22/2021,6.82
Colorado,,2/23/2021,6.84
Colorado,,2/24/2021,7.19
Colorado,,2/25/2021,7.41
Colorado,,2/26/2021,7.63
Colorado,,2/27/2021,7.65
Colorado,,2/28/2021,8.03
Colorado,,3/1/2021,8.33
Colorado,,3/2/2021,8.42
Colorado,,3/3/2021,8.67
Colorado,,3/4/2021,8.91
Colorado,,3/5/2021,9.14
Colorado,,3/6/2021,9.54
Colorado,,3/7/2021,9.86
Colorado,,3/8/2021,9.93
Colorado,,3/9/2021,10.16
Colorado,,3/10/2021,10.58
Colorado,,3/11/2021,11.12
Colorado,,3/12/2021,11.55
Colorado,,3/13/2021,12.07
Colorado,,3/14/2021,12.07
Connecticut,,1/12/2021,0.12
Connecticut,,1/13/2021,0.15
Connecticut,,1/15/2021,0.48
Connecticut,,1/19/2021,0.65
Connecticut,,1/20/2021,0.7
Connecticut,,1/21/2021,0.8
Connecticut,,1/22/2021,0.93
Connecticut,,1/23/2021,1.04
Connecticut,,1/24/2021,1.14
Connecticut,,1/25/2021,1.19
Connecticut,,1/26/2021,1.27
Connecticut,,1/27/2021,1.46
Connecticut,,1/28/2021,1.67
Connecticut,,1/29/2021,1.9
Connecticut,,1/30/2021,2.07
Connecticut,,1/31/2021,2.23
Connecticut,,2/1/2021,2.35
Connecticut,,2/2/2021,2.43
Connecticut,,2/3/2021,2.54
Connecticut,,2/4/2021,2.74
Connecticut,,2/5/2021,2.98
Connecticut,,2/6/2021,3.24
Connecticut,,2/7/2021,3.46
Connecticut,,2/8/2021,3.57
Connecticut,,2/9/2021,3.74
Connecticut,,2/10/2021,4.01
Connecticut,,2/11/2021,4.34
Connecticut,,2/12/2021,4.71
Connecticut,,2/13/2021,5.14
Connecticut,,2/14/2021,5.38
Connecticut,,2/16/2021,5.8
Connecticut,,2/17/2021,6.14
Connecticut,,2/18/2021,6.5
Connecticut,,2/19/2021,7.12
Connecticut,,2/20/2021,7.44
Connecticut,,2/21/2021,7.6
Connecticut,,2/22/2021,7.77
Connecticut,,2/23/2021,7.85
Connecticut,,2/24/2021,7.94
Connecticut,,2/25/2021,8.02
Connecticut,,2/26/2021,8.15
Connecticut,,2/27/2021,8.29
Connecticut,,2/28/2021,8.42
Connecticut,,3/1/2021,8.56
Connecticut,,3/2/2021,8.61
Connecticut,,3/3/2021,8.71
Connecticut,,3/4/2021,8.8
Connecticut,,3/5/2021,8.89
Connecticut,,3/6/2021,8.98
Connecticut,,3/7/2021,9.1
Connecticut,,3/8/2021,9.56
Connecticut,,3/9/2021,9.69
Connecticut,,3/10/2021,9.94
Connecticut,,3/11/2021,10.17
Connecticut,,3/12/2021,10.52
Connecticut,,3/13/2021,13.92
Connecticut,,3/14/2021,13.92
Delaware,,1/12/2021,0.29
Delaware,,1/13/2021,0.42
Delaware,,1/15/2021,0.55
Delaware,,1/19/2021,0.7
Delaware,,1/20/2021,0.71
Delaware,,1/21/2021,0.76
Delaware,,1/22/2021,0.91
Delaware,,1/23/2021,1.07
Delaware,,1/24/2021,1.18
Delaware,,1/25/2021,1.2
Delaware,,1/26/2021,1.2
Delaware,,1/27/2021,1.27
Delaware,,1/28/2021,1.35
Delaware,,1/29/2021,1.46
Delaware,,1/30/2021,1.54
Delaware,,1/31/2021,1.68
Delaware,,2/1/2021,1.81
Delaware,,2/2/2021,1.85
Delaware,,2/3/2021,1.91
Delaware,,2/4/2021,2.09
Delaware,,2/5/2021,2.18
Delaware,,2/6/2021,2.34
Delaware,,2/7/2021,2.49
Delaware,,2/8/2021,2.59
Delaware,,2/9/2021,2.61
Delaware,,2/10/2021,2.68
Delaware,,2/11/2021,2.76
Delaware,,2/12/2021,2.85
Delaware,,2/13/2021,3.02
Delaware,,2/14/2021,3.19
Delaware,,2/16/2021,3.49
Delaware,,2/17/2021,3.66
Delaware,,2/18/2021,3.85
Delaware,,2/19/2021,4.48
Delaware,,2/20/2021,4.78
Delaware,,2/21/2021,4.81
Delaware,,2/22/2021,4.96
Delaware,,2/23/2021,5.19
Delaware,,2/24/2021,5.44
Delaware,,2/25/2021,5.83
Delaware,,2/26/2021,6.37
Delaware,,2/27/2021,6.97
Delaware,,2/28/2021,7.34
Delaware,,3/1/2021,7.8
Delaware,,3/2/2021,7.8
Delaware,,3/3/2021,8.6
Delaware,,3/4/2021,8.98
Delaware,,3/5/2021,9.45
Delaware,,3/6/2021,9.9
Delaware,,3/7/2021,10.35
Delaware,,3/8/2021,10.33
Delaware,,3/9/2021,10.64
Delaware,,3/10/2021,10.66
Delaware,,3/11/2021,11.11
Delaware,,3/12/2021,11.43
Delaware,,3/13/2021,11.85
Delaware,,3/14/2021,11.87
District of Columbia,,1/13/2021,0.18
District of Columbia,,1/15/2021,1.17
District of Columbia,,1/19/2021,1.44
District of Columbia,,1/20/2021,1.5
District of Columbia,,1/21/2021,1.66
District of Columbia,,1/22/2021,1.71
District of Columbia,,1/23/2021,1.79
District of Columbia,,1/24/2021,1.85
District of Columbia,,1/25/2021,1.88
District of Columbia,,1/26/2021,1.88
District of Columbia,,1/27/2021,2.05
District of Columbia,,1/28/2021,2.15
District of Columbia,,1/29/2021,2.28
District of Columbia,,1/30/2021,2.41
District of Columbia,,1/31/2021,2.65
District of Columbia,,2/1/2021,2.72
District of Columbia,,2/2/2021,2.72
District of Columbia,,2/3/2021,2.8
District of Columbia,,2/4/2021,3.02
District of Columbia,,2/5/2021,3.22
District of Columbia,,2/6/2021,3.41
District of Columbia,,2/7/2021,3.71
District of Columbia,,2/8/2021,3.82
District of Columbia,,2/9/2021,3.82
District of Columbia,,2/10/2021,3.82
District of Columbia,,2/11/2021,4.5
District of Columbia,,2/12/2021,4.7
District of Columbia,,2/13/2021,4.87
District of Columbia,,2/14/2021,5.16
District of Columbia,,2/16/2021,5.53
District of Columbia,,2/17/2021,5.66
District of Columbia,,2/18/2021,5.85
District of Columbia,,2/19/2021,7.11
District of Columbia,,2/20/2021,7.31
District of Columbia,,2/21/2021,7.54
District of Columbia,,2/22/2021,7.68
District of Columbia,,2/23/2021,7.85
District of Columbia,,2/24/2021,8.04
District of Columbia,,2/25/2021,8.25
District of Columbia,,2/26/2021,8.44
District of Columbia,,2/27/2021,9.03
District of Columbia,,2/28/2021,9.42
District of Columbia,,3/1/2021,9.69
District of Columbia,,3/2/2021,9.77
District of Columbia,,3/3/2021,9.93
District of Columbia,,3/4/2021,10.14
District of Columbia,,3/5/2021,10.38
District of Columbia,,3/6/2021,11.21
District of Columbia,,3/7/2021,11.44
District of Columbia,,3/8/2021,7.33
District of Columbia,,3/9/2021,7.48
District of Columbia,,3/10/2021,7.76
District of Columbia,,3/11/2021,8
District of Columbia,,3/12/2021,8.22
District of Columbia,,3/13/2021,8.49
District of Columbia,,3/14/2021,8.78
Federated States of Micronesia,,1/15/2021,0
Federated States of Micronesia,,1/19/2021,0
Federated States of Micronesia,,1/20/2021,0
Federated States of Micronesia,,1/21/2021,0
Federated States of Micronesia,,1/22/2021,0
Federated States of Micronesia,,1/23/2021,0
Federated States of Micronesia,,1/24/2021,0
Federated States of Micronesia,,1/25/2021,0
Federated States of Micronesia,,1/26/2021,0
Federated States of Micronesia,,1/27/2021,0
Federated States of Micronesia,,1/28/2021,0
Federated States of Micronesia,,1/29/2021,0
Federated States of Micronesia,,1/30/2021,0
Federated States of Micronesia,,1/31/2021,0
Federated States of Micronesia,,2/1/2021,0.01
Federated States of Micronesia,,2/2/2021,0.02
Federated States of Micronesia,,2/3/2021,0.02
Federated States of Micronesia,,2/4/2021,0.03
Federated States of Micronesia,,2/5/2021,0.03
Federated States of Micronesia,,2/6/2021,0.08
Federated States of Micronesia,,2/7/2021,0.08
Federated States of Micronesia,,2/8/2021,0.11
Federated States of Micronesia,,2/9/2021,0.14
Federated States of Micronesia,,2/10/2021,0.24
Federated States of Micronesia,,2/11/2021,0.33
Federated States of Micronesia,,2/12/2021,0.44
Federated States of Micronesia,,2/13/2021,0.74
Federated States of Micronesia,,2/14/2021,0.85
Federated States of Micronesia,,2/16/2021,1.08
Federated States of Micronesia,,2/17/2021,1.4
Federated States of Micronesia,,2/18/2021,1.7
Federated States of Micronesia,,2/19/2021,2
Federated States of Micronesia,,2/20/2021,2
Federated States of Micronesia,,2/21/2021,2.34
Federated States of Micronesia,,2/22/2021,2.34
Federated States of Micronesia,,2/23/2021,2.34
Federated States of Micronesia,,2/24/2021,2.74
Federated States of Micronesia,,2/25/2021,2.91
Federated States of Micronesia,,2/26/2021,3.29
Federated States of Micronesia,,2/27/2021,3.6
Federated States of Micronesia,,2/28/2021,3.96
Federated States of Micronesia,,3/1/2021,4.25
Federated States of Micronesia,,3/2/2021,4.75
Federated States of Micronesia,,3/3/2021,5.13
Federated States of Micronesia,,3/4/2021,5.46
Federated States of Micronesia,,3/5/2021,5.77
Federated States of Micronesia,,3/6/2021,6.12
Federated States of Micronesia,,3/7/2021,6.17
Federated States of Micronesia,,3/8/2021,6.2
Federated States of Micronesia,,3/9/2021,6.44
Federated States of Micronesia,,3/10/2021,6.62
Federated States of Micronesia,,3/11/2021,6.77
Federated States of Micronesia,,3/12/2021,7.01
Federated States of Micronesia,,3/13/2021,7.2
Federated States of Micronesia,,3/14/2021,7.25
Florida,,1/12/2021,0.19
Florida,,1/13/2021,0.25
Florida,,1/15/2021,0.35
Florida,,1/19/2021,0.48
Florida,,1/20/2021,0.52
Florida,,1/21/2021,0.52
Florida,,1/22/2021,0.58
Florida,,1/23/2021,0.71
Florida,,1/24/2021,0.73
Florida,,1/25/2021,0.73
Florida,,1/26/2021,0.74
Florida,,1/27/2021,0.82
Florida,,1/28/2021,0.95
Florida,,1/29/2021,1.1
Florida,,1/30/2021,1.28
Florida,,1/31/2021,1.39
Florida,,2/1/2021,1.47
Florida,,2/2/2021,1.53
Florida,,2/3/2021,1.74
Florida,,2/4/2021,1.97
Florida,,2/5/2021,2.05
Florida,,2/6/2021,2.38
